model	context_tokens	output_max_tokens	input_usd_per_million	cache_read_usd_per_million	cache_write_usd_per_million	output_usd_per_million
gpt-5.6-sol	1050000	128000	5.00	0.50	6.25	30.00
gpt-5.6-terra	1050000	128000	2.00	0.20	2.50	12.00
gpt-5.6-luna	1050000	128000	0.20	0.02	0.25	1.20
gpt-5.5-pro	1050000	128000	30.00	-	-	180.00
gpt-5.5	1050000	128000	5.00	0.50	-	30.00
gpt-5.4-pro	1050000	128000	30.00	-	-	180.00
gpt-5.4	1050000	128000	2.50	0.25	-	15.00
gpt-5.4-mini	400000	128000	0.75	0.075	-	4.50
gpt-5.4-nano	400000	128000	0.20	0.02	-	1.25
